,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
Total,"24.31 
 (None)","25.62 
 (None)","23.49 
 (None)","26.45 
 (1.56)","26.75 
 (1.53)","25.82 
 (1.44)","26.46 
 (1.51)","26.35 
 (1.15)","28.5 
 (1.37)","26.74 
 (1.38)","29.7 
 (1.41)","27.71 
 (1.47)","27.19 
 (1.36)","28.45 
 (1.67)","28.36 
 (1.84)","30.26 
 (1.73)","29.51 
 (1.6)","30.0 
 (1.88)","29.51 
 (1.52)","29.61 
 (1.05)","27.96 
 (1.23)","27.53 
 (1.26)","27.76 
 (1.31)","27.4 
 (1.18)","27.72 
 (1.01)","28.94 
 (0.89)","27.25 
 (1.29)","28.19 
 (1.44)","30.29 
 (1.45)","30.75 
 (1.46)","29.86 
 (1.28)","29.69 
 (1.41)","31.67 
 (0.98)","31.3 
 (1.43)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
